query	mbid	name	score	type	country	disambiguation
Nas	cfbc0924-0035-4d6c-8197-f024653af823	Nas	100	Person	US	US rapper
JAY-Z	f82bcf78-5b69-4622-a5ef-73800768d9ac	JAY‐Z	100	Person	US	US rapper
The Notorious B.I.G.	d5d97b2b-b83b-4976-814a-056d9076c8c3	The Notorious B.I.G.	100	Person	US	
2Pac	382f1005-e9ab-4684-afd4-0bdae4ee37f2	2Pac	100	Person	US	US rapper
Wu-Tang Clan	0febdcf7-4e1f-4661-9493-b40427de2c13	Wu‐Tang Clan	100	Group	US	
OutKast	73fdb566-a9b1-494c-9f32-51768ec9fd27	OutKast	100	Group	US	
A Tribe Called Quest	9689aa5a-4471-4fb4-9721-07cecda0fa9f	A Tribe Called Quest	100	Group	US	
Public Enemy	bf2e15d0-4b77-469e-bfb4-f8414415baca	Public Enemy	100	Group	US	US rap group
Run-D.M.C.	5ecc3f72-20a6-47a0-8dc5-fb0b3dadeea0	Run‐D.M.C.	100	Group	US	
N.W.A	3a54bffa-2314-44a2-927b-60144119c780	N.W.A	100	Group	US	US hip hop group
LL Cool J	a4dd0e77-83b8-4e92-89b7-effb0e47fd8c	LL Cool J	100	Person	US	
Rakim	2792b097-0b1d-4c50-97f6-f7f097f86438	Rakim	100	Person	US	William Michael Griffin Jr., American rapper
Ice Cube	1d11e2a1-4531-4d61-a8c7-7b5c6a608fd2	Ice Cube	100	Person	US	
Snoop Dogg	f90e8b26-9e52-4669-a5c9-e28529c47894	Snoop Dogg	100	Person	US	US rapper
Dr. Dre	5f6ab597-f57a-40da-be9e-adad48708203	Dr. Dre	100	Person	US	Andre Young, rap producer
Scarface	7d0b6027-8132-4417-8c4c-ef0bbf9161c0	Scarface	100	Person	US	US rapper Brad Jordan
UGK	9603810b-5d6d-41a6-aca8-330ef966d55c	UGK	100	Group	US	
The Roots	80b3cf5e-18fe-4c59-98c7-e5bb87210710	The Roots	100	Group	US	US hip hop group
Common	c0a1179b-b14a-4d68-a3c1-1fdab16ed602	Common	100	Person	US	US rapper
Mos Def	4597e1ed-710a-45df-b257-44e684d59a82	The Yah Mos Def	100	Group		
Talib Kweli	bb3cbea2-5ad4-4917-bc84-8a1975d40315	Talib Kweli	100	Person	US	
DMX	f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8	DMX	100	Person	US	US rapper
Big Pun	609e7afd-3552-4102-9501-7611858ea320	Big Pun	100	Person	US	rapper Christopher Rios aka Big Punisher
Lauryn Hill	e8414012-4a1c-4ad4-be5e-fc55294e28cc	Lauryn Hill	100	Person	US	
Missy Elliott	a0b8cb9e-7532-45fe-a74c-30e7c4009a39	Missy Elliott	100	Person	US	American rapper, singer, dancer & record producer
Busta Rhymes	10a9ff92-9637-4498-afea-7044b2ab0dc0	Busta Rhymes	100	Person	US	
Kanye West	0eb17834-1d29-47ef-a422-9dc68d73c5e4	Kanye West Tribute Band	100	Group		
Eminem	b95ce3ff-3d05-4e87-9e01-c97b66af13d4	Eminem	100	Person	US	US rapper
50 Cent	8e68819d-71be-4e7d-b41d-f1df81b01d3f	50 Cent	100	Person	US	
Lil Wayne	ac9a487a-d9d2-4f27-bb23-0f4686488345	Lil Wayne	100	Person	US	
Nicki Minaj	1036b808-f58c-4a3e-b461-a2c4492ecf1b	Nicki Minaj	100	Person	US	
Future	48262e82-db9f-4a92-b650-dfef979b73ec	Future	100	Person	US	US rapper Nayvadius Cash
Young Thug	800760de-bdf8-43a2-8fe0-44a2401a5515	Young Thug	100	Person	US	US rapper
Kendrick Lamar	381086ea-f511-4aba-bdf9-71c753dc5077	Kendrick Lamar	100	Person	US	
J. Cole	875203e1-8e58-4b86-8dcb-7190faf411c5	J. Cole	100	Person	US	US rapper & producer
Drake	9fff2f8a-21e6-47de-a2b8-7f449929d43f	Drake	100	Person	CA	Canadian rapper
Tyler, The Creator	f6beac20-5dfe-4d1f-ae02-0b0a740aafd6	Tyler, The Creator	100	Person	US	
Earl Sweatshirt	8b22acd6-20e6-4463-a75c-c14b5cfdb666	Earl Sweatshirt	100	Person		
Travis Scott	e4a51f17-a57b-47b1-b37b-f552d0f8e9e6	Travis Scott	100	Person	US	US rapper
A$AP Rocky	25b7b584-d952-4662-a8b9-dd8cdfbfeb64	A$AP Rocky	100	Person	US	US rapper
Pusha T	14ecd19f-7121-4192-8549-e5056241a42f	Pusha T	100	Person	US	
Freddie Gibbs	21645c31-fe1c-45a4-955c-3e172b12c3f9	Freddie Gibbs	100	Person	US	
Danny Brown	960afc67-9c21-46dd-9c7f-ff2b509e3150	Danny Brown	100	Person	US	US rapper
Vince Staples	78e854b8-9713-4ff2-9218-6b3784893bff	Vince Staples	100	Person	US	
Mac Miller	a0e8a1b1-5f8f-475a-a253-17415c17d0ff	Mac Miller	100	Person	US	American rapper
Run the Jewels	a80c5dc5-b12e-4667-9f5a-b568961f3839	Run the Jewels	100	Group	US	
JID	d616b606-cf6a-4b6e-ab0f-e253b8db6610	JID	100	Person	US	rapper
Denzel Curry	5f95440d-7737-4a36-9bcf-c05337f7129b	Denzel Curry	100	Person	US	US rapper
Lil Uzi Vert	8837b875-3689-4646-b3fd-d8b53815c7a8	Lil Uzi Vert	100	Person	US	
21 Savage	37b2cb82-ef79-4d46-a184-a549450aa231	21 Savage	100	Person	US	
